"","word","absolute.frequency","relative.frequency"
"99","voic",126,0.0517666392769104
"100","mind",125,0.0513557929334429
"101","let",125,0.0513557929334429
"102","found",123,0.0505341002465078
"103","rather",123,0.0505341002465078
"104","great",123,0.0505341002465078
"105","stood",123,0.0505341002465078
"106","morn",122,0.0501232539030403
"107","took",122,0.0501232539030403
"108","speak",121,0.0497124075595727
"109","moment",121,0.0497124075595727
"110","round",120,0.0493015612161052
"111","fire",120,0.0493015612161052
"112","better",119,0.0488907148726376
"113","get",118,0.0484798685291701
"114","fear",116,0.047658175842235
"115","sure",114,0.0468364831552999
"116","light",114,0.0468364831552999
"117","far",113,0.0464256368118324
"118","girl",113,0.0464256368118324
"119","knew",112,0.0460147904683648
"120","dark",111,0.0456039441248973
"121","anoth",111,0.0456039441248973
"122","till",111,0.0456039441248973
"123","old",110,0.0451930977814297
"124","strang",109,0.0447822514379622
"125","continu",109,0.0447822514379622
"126","year",109,0.0447822514379622
"127","appear",109,0.0447822514379622
"128","present",109,0.0447822514379622
"129","inde",108,0.0443714050944947
"130","hear",106,0.0435497124075596
"131","god",106,0.0435497124075596
"132","marri",106,0.0435497124075596
"133","talk",106,0.0435497124075596
"134","sat",104,0.0427280197206245
"135","enough",104,0.0427280197206245
"136","new",102,0.0419063270336894
"137","rose",102,0.0419063270336894
"138","hall",101,0.0414954806902219
"139","close",100,0.0410846343467543
"140","certain",100,0.0410846343467543
"141","got",100,0.0410846343467543
"142","master",100,0.0410846343467543
"143","everi",100,0.0410846343467543
"144","sit",98,0.0402629416598192
"145","thornfield",98,0.0402629416598192
"146","almost",97,0.0398520953163517
"147","perhap",96,0.0394412489728841
"148","part",96,0.0394412489728841
"149","minut",95,0.0390304026294166
"150","mari",95,0.0390304026294166
"151","believ",94,0.0386195562859491
"152","eyr",94,0.0386195562859491
"153","bed",94,0.0386195562859491
"154","smile",94,0.0386195562859491
"155","cold",92,0.037797863599014
"156","hope",92,0.037797863599014
"157","walk",91,0.0373870172555464
"158","ill",91,0.0373870172555464
"159","quiet",91,0.0373870172555464
"160","three",90,0.0369761709120789
"161","follow",90,0.0369761709120789
"162","name",90,0.0369761709120789
"163","keep",89,0.0365653245686113
"164","read",88,0.0361544782251438
"165","arm",88,0.0361544782251438
"166","point",88,0.0361544782251438
"167","ingram",88,0.0361544782251438
"168","alway",87,0.0357436318816763
"169","right",86,0.0353327855382087
"170","cri",85,0.0349219391947412
"171","find",85,0.0349219391947412
"172","mean",85,0.0349219391947412
"173","woman",85,0.0349219391947412
"174","care",84,0.0345110928512736
"175","kind",84,0.0345110928512736
"176","half",84,0.0345110928512736
"177","enter",84,0.0345110928512736
"178","child",83,0.0341002465078061
"179","black",83,0.0341002465078061
