"","word","absolute.frequency","relative.frequency"
"244","suffer",43,0.0240896358543417
"245","upstair",43,0.0240896358543417
"246","stood",43,0.0240896358543417
"247","fanci",43,0.0240896358543417
"248","black",42,0.0235294117647059
"249","bring",42,0.0235294117647059
"250","work",42,0.0235294117647059
"251","dead",42,0.0235294117647059
"252","stand",42,0.0235294117647059
"253","that",42,0.0235294117647059
"254","sir",41,0.02296918767507
"255","end",41,0.02296918767507
"256","inquir",41,0.02296918767507
"257","peopl",41,0.02296918767507
"258","notic",41,0.02296918767507
"259","chang",41,0.02296918767507
"260","son",41,0.02296918767507
"261","imagin",40,0.0224089635854342
"262","order",40,0.0224089635854342
"263","guess",40,0.0224089635854342
"264","least",40,0.0224089635854342
"265","seen",40,0.0224089635854342
"266","wors",40,0.0224089635854342
"267","touch",40,0.0224089635854342
"268","besid",40,0.0224089635854342
"269","cold",40,0.0224089635854342
"270","commenc",40,0.0224089635854342
"271","neither",40,0.0224089635854342
"272","expect",40,0.0224089635854342
"273","dare",40,0.0224089635854342
"274","togeth",40,0.0224089635854342
"275","god",40,0.0224089635854342
"276","remov",39,0.0218487394957983
"277","boy",39,0.0218487394957983
"278","counten",39,0.0218487394957983
"279","mother",39,0.0218487394957983
"280","attempt",39,0.0218487394957983
"281","move",39,0.0218487394957983
"282","knew",39,0.0218487394957983
"283","unless",39,0.0218487394957983
"284","tear",39,0.0218487394957983
"285","chapter",38,0.0212885154061625
"286","finger",38,0.0212885154061625
"287","utter",38,0.0212885154061625
"288","wonder",38,0.0212885154061625
"289","reason",38,0.0212885154061625
"290","doubt",38,0.0212885154061625
"291","marri",38,0.0212885154061625
"292","moment",38,0.0212885154061625
"293","voic",38,0.0212885154061625
"294","anyth",38,0.0212885154061625
"295","brother",38,0.0212885154061625
"296","couldnt",38,0.0212885154061625
"297","kept",37,0.0207282913165266
"298","perceiv",37,0.0207282913165266
"299","nobodi",37,0.0207282913165266
"300","road",37,0.0207282913165266
"301","caus",37,0.0207282913165266
"302","happi",37,0.0207282913165266
"303","settl",37,0.0207282913165266
"304","shut",37,0.0207282913165266
"305","hair",37,0.0207282913165266
"306","seek",37,0.0207282913165266
"307","help",36,0.0201680672268908
"308","dog",36,0.0201680672268908
"309","matter",36,0.0201680672268908
"310","mutter",36,0.0201680672268908
"311","glad",36,0.0201680672268908
"312","gaze",36,0.0201680672268908
"313","garden",36,0.0201680672268908
"314","quiet",36,0.0201680672268908
"315","chamber",36,0.0201680672268908
"316","kiss",36,0.0201680672268908
"317","listen",36,0.0201680672268908
"318","find",36,0.0201680672268908
"319","less",36,0.0201680672268908
"320","gimmerton",36,0.0201680672268908
"321","hors",35,0.0196078431372549
"322","except",35,0.0196078431372549
"323","shes",35,0.0196078431372549
"324","devil",35,0.0196078431372549
"325","stare",35,0.0196078431372549
"326","promis",35,0.0196078431372549
"327","moor",35,0.0196078431372549
"328","either",35,0.0196078431372549
"329","approach",35,0.0196078431372549
