"","word","JE.freq","JE.prop","WH.freq","WH.prop","dProp","dAbs"
"1148","space",19,0.00780608052588332,12,0.00672268907563025,0.00108339145025307,0.00108339145025307
"1149","ejacul",11,0.00451930977814297,10,0.00560224089635854,-0.00108293111821557,0.00108293111821557
"1150","everybodi",11,0.00451930977814297,10,0.00560224089635854,-0.00108293111821557,0.00108293111821557
"1151","muse",11,0.00451930977814297,10,0.00560224089635854,-0.00108293111821557,0.00108293111821557
"1152","owe",11,0.00451930977814297,10,0.00560224089635854,-0.00108293111821557,0.00108293111821557
"1153","sharp",11,0.00451930977814297,10,0.00560224089635854,-0.00108293111821557,0.00108293111821557
"1154","perfect",26,0.0106820049301561,21,0.0117647058823529,-0.00108270095219682,0.00108270095219682
"1155","brought",68,0.0279375513557929,48,0.026890756302521,0.00104679505327192,0.00104679505327192
"1156","charg",23,0.00944946589975349,15,0.00840336134453781,0.00104610455521568,0.00104610455521568
"1157","amaz",7,0.0028759244042728,7,0.00392156862745098,-0.00104564422317818,0.00104564422317818
"1158","behold",7,0.0028759244042728,7,0.00392156862745098,-0.00104564422317818,0.00104564422317818
"1159","brood",7,0.0028759244042728,7,0.00392156862745098,-0.00104564422317818,0.00104564422317818
"1160","clung",7,0.0028759244042728,7,0.00392156862745098,-0.00104564422317818,0.00104564422317818
"1161","defi",7,0.0028759244042728,7,0.00392156862745098,-0.00104564422317818,0.00104564422317818
"1162","discern",7,0.0028759244042728,7,0.00392156862745098,-0.00104564422317818,0.00104564422317818
"1163","establish",7,0.0028759244042728,7,0.00392156862745098,-0.00104564422317818,0.00104564422317818
"1164","execut",7,0.0028759244042728,7,0.00392156862745098,-0.00104564422317818,0.00104564422317818
"1165","exhaust",7,0.0028759244042728,7,0.00392156862745098,-0.00104564422317818,0.00104564422317818
"1166","folli",7,0.0028759244042728,7,0.00392156862745098,-0.00104564422317818,0.00104564422317818
"1167","grand",7,0.0028759244042728,7,0.00392156862745098,-0.00104564422317818,0.00104564422317818
"1168","nest",7,0.0028759244042728,7,0.00392156862745098,-0.00104564422317818,0.00104564422317818
"1169","permiss",7,0.0028759244042728,7,0.00392156862745098,-0.00104564422317818,0.00104564422317818
"1170","porridg",7,0.0028759244042728,7,0.00392156862745098,-0.00104564422317818,0.00104564422317818
"1171","rude",7,0.0028759244042728,7,0.00392156862745098,-0.00104564422317818,0.00104564422317818
"1172","sympathis",7,0.0028759244042728,7,0.00392156862745098,-0.00104564422317818,0.00104564422317818
"1173","violenc",7,0.0028759244042728,7,0.00392156862745098,-0.00104564422317818,0.00104564422317818
"1174","fond",22,0.00903861955628595,18,0.0100840336134454,-0.00104541405715943,0.00104541405715943
"1175","allow",37,0.0152013147082991,29,0.0162464985994398,-0.00104518389114068,0.00104518389114068
"1176","probabl",42,0.0172555464256368,29,0.0162464985994398,0.00100904782619703,0.00100904782619703
"1177","tomorrow",27,0.0110928512736237,18,0.0100840336134454,0.00100881766017829,0.00100881766017829
"1178","benefit",12,0.00493015612161052,7,0.00392156862745098,0.00100858749415954,0.00100858749415954
"1179","commit",12,0.00493015612161052,7,0.00392156862745098,0.00100858749415954,0.00100858749415954
"1180","necess",12,0.00493015612161052,7,0.00392156862745098,0.00100858749415954,0.00100858749415954
"1181","soften",12,0.00493015612161052,7,0.00392156862745098,0.00100858749415954,0.00100858749415954
"1182","throw",12,0.00493015612161052,7,0.00392156862745098,0.00100858749415954,0.00100858749415954
"1183","tortur",12,0.00493015612161052,7,0.00392156862745098,0.00100858749415954,0.00100858749415954
"1184","waken",12,0.00493015612161052,7,0.00392156862745098,0.00100858749415954,0.00100858749415954
"1185","worth",12,0.00493015612161052,7,0.00392156862745098,0.00100858749415954,0.00100858749415954
"1186","meal",18,0.00739523418241578,15,0.00840336134453781,-0.00100812716212204,0.00100812716212204
"1187","sing",18,0.00739523418241578,15,0.00840336134453781,-0.00100812716212204,0.00100812716212204
"1188","knee",33,0.0135579293344289,26,0.0145658263305322,-0.00100789699610329,0.00100789699610329
"1189","shoulder",33,0.0135579293344289,26,0.0145658263305322,-0.00100789699610329,0.00100789699610329
"1190","soul",46,0.018898931799507,32,0.0179271708683473,0.000971760931159648,0.000971760931159648
"1191","spoke",46,0.018898931799507,32,0.0179271708683473,0.000971760931159648,0.000971760931159648
"1192","explain",31,0.0127362366474938,21,0.0117647058823529,0.000971530765140897,0.000971530765140897
"1193","everyth",16,0.00657354149548069,10,0.00560224089635854,0.000971300599122146,0.000971300599122146
"1194","haunt",16,0.00657354149548069,10,0.00560224089635854,0.000971300599122146,0.000971300599122146
"1195","manner",44,0.0180772391125719,34,0.019047619047619,-0.000970379935047151,0.000970379935047151
"1196","common",20,0.00821692686935086,13,0.00728291316526611,0.000934013704084757,0.000934013704084757
"1197","dreari",20,0.00821692686935086,13,0.00728291316526611,0.000934013704084757,0.000934013704084757
"1198","patient",20,0.00821692686935086,13,0.00728291316526611,0.000934013704084757,0.000934013704084757
"1199","suspect",10,0.00410846343467543,9,0.00504201680672269,-0.000933553372047258,0.000933553372047258
"1200","resum",25,0.0102711585866886,20,0.0112044817927171,-0.000933323206028508,0.000933323206028508
"1201","realli",40,0.0164338537387017,31,0.0173669467787115,-0.000933093040009759,0.000933093040009759
"1202","kind",84,0.0345110928512736,60,0.0336134453781513,0.000897647473122362,0.000897647473122362
"1203","thank",39,0.0160230073952342,27,0.0151260504201681,0.000896956975066114,0.000896956975066114
"1204","bank",6,0.00246507806080526,6,0.00336134453781513,-0.000896266477009868,0.000896266477009868
"1205","bedsid",6,0.00246507806080526,6,0.00336134453781513,-0.000896266477009868,0.000896266477009868
"1206","constitut",6,0.00246507806080526,6,0.00336134453781513,-0.000896266477009868,0.000896266477009868
"1207","destroy",6,0.00246507806080526,6,0.00336134453781513,-0.000896266477009868,0.000896266477009868
"1208","injur",6,0.00246507806080526,6,0.00336134453781513,-0.000896266477009868,0.000896266477009868
"1209","inner",6,0.00246507806080526,6,0.00336134453781513,-0.000896266477009868,0.000896266477009868
"1210","lap",6,0.00246507806080526,6,0.00336134453781513,-0.000896266477009868,0.000896266477009868
"1211","relish",6,0.00246507806080526,6,0.00336134453781513,-0.000896266477009868,0.000896266477009868
"1212","shoot",6,0.00246507806080526,6,0.00336134453781513,-0.000896266477009868,0.000896266477009868
"1213","sparkl",6,0.00246507806080526,6,0.00336134453781513,-0.000896266477009868,0.000896266477009868
"1214","mount",21,0.00862777321281841,17,0.00952380952380952,-0.000896036310991119,0.000896036310991119
"1215","convey",13,0.00534100246507806,8,0.00448179271708683,0.000859209747991227,0.000859209747991227
"1216","discuss",13,0.00534100246507806,8,0.00448179271708683,0.000859209747991227,0.000859209747991227
"1217","mistak",13,0.00534100246507806,8,0.00448179271708683,0.000859209747991227,0.000859209747991227
"1218","press",13,0.00534100246507806,8,0.00448179271708683,0.000859209747991227,0.000859209747991227
"1219","bless",17,0.00698438783894823,14,0.00784313725490196,-0.000858749415953727,0.000858749415953727
"1220","chamber",47,0.0193097781429745,36,0.0201680672268908,-0.00085828908391623,0.00085828908391623
"1221","four",32,0.0131470829909614,22,0.0123249299719888,0.000822153018972585,0.000822153018972585
"1222","tale",32,0.0131470829909614,22,0.0123249299719888,0.000822153018972585,0.000822153018972585
"1223","daresay",17,0.00698438783894823,11,0.0061624649859944,0.000821922852953836,0.000821922852953836
"1224","desper",17,0.00698438783894823,11,0.0061624649859944,0.000821922852953836,0.000821922852953836
"1225","urg",17,0.00698438783894823,11,0.0061624649859944,0.000821922852953836,0.000821922852953836
"1226","grasp",13,0.00534100246507806,11,0.0061624649859944,-0.000821462520916336,0.000821462520916336
"1227","hung",13,0.00534100246507806,11,0.0061624649859944,-0.000821462520916336,0.000821462520916336
"1228","lord",13,0.00534100246507806,11,0.0061624649859944,-0.000821462520916336,0.000821462520916336
"1229","finish",28,0.0115036976170912,22,0.0123249299719888,-0.000821232354897587,0.000821232354897587
"1230","toward",58,0.0238290879211175,44,0.0246498599439776,-0.00082077202286009,0.00082077202286009
"1231","consent",21,0.00862777321281841,14,0.00784313725490196,0.000784635957916445,0.000784635957916445
"1232","abus",9,0.00369761709120789,8,0.00448179271708683,-0.000784175625878946,0.000784175625878946
"1233","anywher",9,0.00369761709120789,8,0.00448179271708683,-0.000784175625878946,0.000784175625878946
"1234","caress",9,0.00369761709120789,8,0.00448179271708683,-0.000784175625878946,0.000784175625878946
"1235","confin",9,0.00369761709120789,8,0.00448179271708683,-0.000784175625878946,0.000784175625878946
"1236","flew",9,0.00369761709120789,8,0.00448179271708683,-0.000784175625878946,0.000784175625878946
"1237","children",39,0.0160230073952342,30,0.0168067226890756,-0.000783715293841449,0.000783715293841449
"1238","care",84,0.0345110928512736,63,0.0352941176470588,-0.000783024795785202,0.000783024795785202
"1239","half",84,0.0345110928512736,63,0.0352941176470588,-0.000783024795785202,0.000783024795785202
"1240","affair",10,0.00410846343467543,6,0.00336134453781513,0.000747118896860305,0.000747118896860305
"1241","appli",10,0.00410846343467543,6,0.00336134453781513,0.000747118896860305,0.000747118896860305
"1242","edg",10,0.00410846343467543,6,0.00336134453781513,0.000747118896860305,0.000747118896860305
"1243","justic",10,0.00410846343467543,6,0.00336134453781513,0.000747118896860305,0.000747118896860305
"1244","oak",10,0.00410846343467543,6,0.00336134453781513,0.000747118896860305,0.000747118896860305
